image,output,flag,username,timestamp
/Users/dhruvwazir/MNIST/flagged/image/3c22541773d5b96ad966f6038a25c1e24836aa7d/tmpg3nkn3hp.png,/Users/dhruvwazir/MNIST/flagged/output/tmpvts3qr_8.json,,,2023-11-25 22:44:27.025314
/Users/dhruvwazir/MNIST/flagged/image/c2b0cbd4b0c542db4ef92c49bbceb11a21189027/tmpw646o_ej.png,/Users/dhruvwazir/MNIST/flagged/output/tmpvdryt2_4.json,,,2023-11-25 22:44:31.093458
/Users/dhruvwazir/MNIST/flagged/image/281b1d963b79f1de09c25f2334505a4a6e09994d/tmpdtk854m1.png,/Users/dhruvwazir/MNIST/flagged/output/tmpsn6f4bub.json,,,2023-11-30 09:47:12.013059
/Users/dhruvwazir/MNIST/flagged/image/18879d939709fddabc3fef8c3d170a0b8301b36b/tmpqx10nuqp.png,/Users/dhruvwazir/MNIST/flagged/output/tmp366qp97s.json,,,2023-11-30 09:47:15.396431
